index	alpha
0	1.0
1	.50
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	.50
14	1.00
15	1.50
16	1.00
17	1.50
18	2.00
19	2.50
