species,coverage,dummy,genomesize,host,inref,long,min_read,plastid,random_seed,range,short,status
Test_species-0,50,dummy,150000,vincent,genus,l,3000,false,105,3000:6000:2,s,done
Lolium_perenne-0,50,dummy,0,siepel,family,SRR13386519,10000,false,101,36000:42000:3,SRR13386518,done
Lolium_perenne-1,50,dummy,0,siepel,family,SRR13386519,10000,false,101,36000:42000:3,SRR13386518,done
Spirodela_polyrhiza-0,50,dummy,0,siepel,family,SRR11472010,3000,false,103,3000:6000:2,SRR11472009,done
Macadamia_tetraphylla-0,50,dummy,0,vincent,genus,SRR10424548,3000,false,105,3000:6000:2,SRR10424549,done
Punica_granatum-0,50,dummy,0,marybeth,family,SRR24893686,3000,false,103,3000:6000:2,SRR24893685,done
